"","Fecha","estacionSur","loncura","villaAlegre","mean","std"
"1",1993,NA,NA,44.3304,44.3304,NA
"2",1994,NA,NA,47.2712,47.2712,NA
"3",1995,55.2451,NA,45.0085,50.1268,7.23836927629421
"4",1996,46.8529,NA,38.9833,42.9181,5.56464752522565
"5",1997,41.2673,NA,36.7025,38.9849,3.22780103476035
"6",1998,37.25,NA,36.8347,37.04235,0.293661446226775
"7",1999,33.3942,NA,29.3559,31.37505,2.85550931446563
"8",2000,30.3585,NA,29.3884,29.87345,0.685964288429069
"9",2001,27.7019,NA,26.9748,27.33835,0.514137340600739
"10",2002,25.1635,NA,26.3,25.73175,0.803626856818512
"11",2003,22.5588,NA,31.3197,26.93925,6.19489179929722
"12",2004,19.5566,NA,28.8264,24.1915,6.55473844024306
"13",2005,15.7727,NA,24.9417,20.3572,6.48346207669945
"14",2006,10.303,NA,27.7459,19.02445,12.3339928735588
"15",2007,28.4706,NA,29.6311,29.05085,0.820597419566988
"16",2008,30.0661,NA,27.2459,28.656,1.9941825443023
"17",2009,36.5301,NA,32.5024,34.51625,2.84801398258505
"18",2010,27.7637,NA,27.7604,27.76205,0.00233345237791519
"19",2011,NA,NA,NA,NA,NA
"20",2012,23.0573,51.9548,NA,37.50605,20.4336182093383
"21",2013,30.8467,44.1904,NA,37.51855,9.43542075611893
"22",2014,25.7698,42.4933,NA,34.13155,11.8253002551732
"23",2015,33.1215,42.6991,36.1648,37.3284666666667,4.89368935705295
"24",2016,30.5797,42.4999,29.2806,34.1200666666667,7.28615949752222
"25",2017,25.658,47.881,NA,36.7695,15.7140339983086
"26",2018,28.9393,44.8633,NA,36.9013,11.2599683836146
