"","Fecha","centro","estacionSur","loncura","villaAlegre","mean","std"
"1",1993,NA,NA,NA,28.8137,28.8137,NA
"2",1994,NA,90.9137,NA,33.9671,62.4404,40.2673270255179
"3",1995,NA,57.1337,NA,39.4363,48.285,12.5139515493708
"4",1996,NA,40.0951,NA,44.6788,42.38695,3.24116535292478
"5",1997,NA,30.0705,NA,28.041,29.05575,1.4350732124181
"6",1998,NA,23.1357,NA,15.7693,19.4525,5.20883139293258
"7",1999,NA,17.8724,NA,7.60601,12.739205,7.25943398730576
"8",2000,NA,14.118,NA,7.72704,10.92252,4.51909115429198
"9",2001,NA,11.0654,NA,5.21709,8.141245,4.1353796594811
"10",2002,NA,8.70631,NA,3.28101,5.99366,3.83626641997138
"11",2003,NA,6.58177,NA,2.73292,4.657345,2.72154793476984
"12",2004,NA,4.77336,NA,2.80431,3.788835,1.39232860749537
"13",2005,NA,2.97414,NA,4.78345,3.878795,1.27937537026863
"14",2006,NA,0.99762,NA,3.89939,2.448505,2.05186124444369
"15",2007,NA,14.4949,NA,7.52303,11.008965,4.92985655455105
"16",2008,NA,13.4065,NA,9.69514,11.55082,2.6243278234245
"17",2009,NA,16.5375,NA,8.72215,12.629825,5.52628698234629
"18",2010,NA,13.6093,NA,3.26783,8.438565,7.31252356443725
"19",2011,NA,NA,NA,NA,NA,NA
"20",2012,NA,6.35864,NA,4.0261,5.19237,1.64935485138887
"21",2013,12.5795,8.70747,9.21833,5.66505,9.0425875,2.83200157495689
"22",2014,10.0206,10.4581,10.9962,5.33006,9.20124,2.6114468443885
"23",2015,4.67696,9.81834,12.1107,5.25395,7.9649875,3.59549239970805
"24",2016,6.162,8.00202,11.4533,5.68172,7.82476,2.61757616243221
"25",2017,10.9554,8.38578,7.07472,4.9914,7.851825,2.49687865706365
"26",2018,10.5775,9.93943,6.5183,6.87281,8.47701,2.0785197457646
