FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
930101;0000;;37,425;;
940101;0000;;43,5859;;
950101;0000;;50,9342;;
960101;0000;;54,1906;;
970101;0000;;37,3749;;
980101;0000;;19,8389;;
990101;0000;;13,509;;
000101;0000;;15,9209;;
010101;0000;;9,21034;;
020101;0000;;8,175;;
030101;0000;;6,21314;;
040101;0000;;8,28024;;
050101;0000;;6,53401;;
060101;0000;;9,98684;;
070101;0000;;12,0322;;
080101;0000;;11,9873;;
090101;0000;;9,71781;;
100101;0000;;7,91922;;
110101;0000;;6,34439;;
120101;0000;;6,51011;;
130101;0000;;9,42707;;
140101;0000;;8,87333;;
150101;0000;;6,178;;
160101;0000;;6,35165;;
170101;0000;;;5,83427;
180101;0000;;;5,77662;
